Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,67496","-1,538","0,36002",0,0,0,"100,8","1264,2","-0,0081159","0,00046409","290,17","-71,699","1438,3",0,0,0,0,0,0,package://araba_v2/meshes/base_link.STL,"0,86667","0,9098",1,1,0,0,0,0,0,0,package://araba_v2/meshes/base_link.STL,,Şasi 300SL-1;sac-1;UCP - 308-1;UCP - 308-2;Aks-1;Aks Çubuk-1;Aks Taban-1;Diferansiyel Kovan-1;wishbone aparat2-2;wishbone aparat2-3;Dişli Çark güncel-1;shock_absorber.prt-1;shock_absorber.prt-2;sac çelik revize-1;motor-1;U-wishbone assembly-1;wishbone aparat-5;wishbone aparat-6;wishbone aparat-9;wishbone aparat-10;wishbone aparat2-6;wishbone aparat2-7;U-wishbone assembly-3;Pil-1;küçük batarya-1;plastic seat-1;Yağ Pompalama Sistemi-1;Kremayer son  tasarım-1;Whisbone-7;Upper ball joint kit car MAXI-1;Whisbone-8;Upper ball joint kit car MAXI-2;KABUK 2-1;platform-1,base koordinat,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
on_sag_yatay_direksiyon_hareket_link,"-0,033113","-0,0035226","-3,9973E-08",0,0,0,"0,85066","0,0018544","-0,0001198","-1,4313E-09","0,0018695","-4,3929E-09","0,00089782",0,0,0,0,0,0,package://araba_v2/meshes/on_sag_yatay_direksiyon_hareket_link.STL,"0,86667","0,9098",1,1,0,0,0,0,0,0,package://araba_v2/meshes/on_sag_yatay_direksiyon_hareket_link.STL,,axle knuckle-4,on sag koordinat,direksiyon sag eksen,on_sag_yatay_direksiyon_hareket,revolute,"1,4181","-0,35491","0,055943",0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
on_sag_ileri_donus_hareket,"0,065735","1,2454E-05","-4,2322E-08",0,0,0,"20,541","0,48865","-1,194E-13","-2,2672E-13","0,25619","6,4969E-13","0,25619",0,0,0,0,0,0,package://araba_v2/meshes/on_sag_ileri_donus_hareket.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://araba_v2/meshes/on_sag_ileri_donus_hareket.STL,,"43,18 70mm alstik-1;Bicycle wheel rim w disc-3",on sag koordinat,donus on sag eksen,on_sag_ileri_donus_hareket,continuous,0,0,0,0,0,0,on_sag_yatay_direksiyon_hareket_link,1,0,0,,,,,,,,,,,,
on_sol_yatay_direksiyon_hareket_link,"0,033112","-0,0035225","2,5337E-07",0,0,0,"0,85067","0,0018544","0,0001198","2,3235E-09","0,0018695","1,6117E-09","0,00089783",0,0,0,0,0,0,package://araba_v2/meshes/on_sol_yatay_direksiyon_hareket_link.STL,"0,86667","0,9098",1,1,0,0,0,0,0,0,package://araba_v2/meshes/on_sol_yatay_direksiyon_hareket_link.STL,,axle knuckle-1,on sol koordinat,direksiyon sol eksen,on_sol_yatay_direksiyon_hareket,revolute,"-0,068111","-0,35501","0,053282",0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
on_sol_ileri_donus_hareket,"-0,065735","1,2454E-05","4,2322E-08",0,0,0,"20,541","0,48865","-2,3414E-13","-1,03E-13","0,25619","5,6461E-13","0,25619",0,0,0,0,0,0,package://araba_v2/meshes/on_sol_ileri_donus_hareket.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://araba_v2/meshes/on_sol_ileri_donus_hareket.STL,,"Bicycle wheel rim w disc-1;43,18 70mm alstik-2",on sol koordinat,donus on sol eksen,on_sol_ileri_donus_hareket,continuous,0,0,0,0,0,0,on_sol_yatay_direksiyon_hareket_link,1,0,0,,,,,,,,,,,,
arka_sol_ileri_donus_hareket_link,"-0,041261","-3,4017E-13","-4,1689E-13",0,0,0,"9,9541","0,34167","-4,1553E-17","-1,0505E-15","0,17442","7,1713E-17","0,17442",0,0,0,0,0,0,package://araba_v2/meshes/arka_sol_ileri_donus_hareket_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://araba_v2/meshes/arka_sol_ileri_donus_hareket_link.STL,,"43,66 63,33 lastik-2;bicycle wheel without disc-1",arka sol koordinat,donus arka sol eksen,arka_sol_ileri_donus_hareket,continuous,"-0,0005","-2,03","0,0875",0,0,0,base_link,1,0,0,,,,,,,,,,,,
arka_sag_ileri_donus_hareket_link,"0,041261","4,5519E-13","3,2935E-12",0,0,0,"9,9541","0,34167","4,1782E-17","-1,03E-15","0,17442","-1,9372E-18","0,17442",0,0,0,0,0,0,package://araba_v2/meshes/arka_sag_ileri_donus_hareket_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://araba_v2/meshes/arka_sag_ileri_donus_hareket_link.STL,,"43,66 63,33 lastik-1;bicycle wheel without disc-2",arka sag koordinat,donus arka sag eksen,arka_sag_ileri_donus_hareket,continuous,"1,3505","-2,03","0,0875",0,0,0,base_link,1,0,0,,,,,,,,,,,,
imu_sensor_link,"6,2172E-15","0,025","7,7716E-16",0,0,0,"0,1275","5,3125E-05","1,3357E-20","-1,6143E-20","5,3125E-05","2,3423E-21","5,3125E-05",0,0,0,0,0,0,package://araba_v2/meshes/imu_sensor_link.STL,1,1,1,1,0,0,0,0,0,0,package://araba_v2/meshes/imu_sensor_link.STL,,gps-1,imu koordinat,,imu_sensor,fixed,"0,675","-0,95107","0,0265","1,5708",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
gps_sensor_link,"-1,7764E-15","6,1062E-15","0,025",0,0,0,"0,1275","5,3125E-05","-1,6143E-20","2,3423E-21","5,3125E-05","1,3357E-20","5,3125E-05",0,0,0,0,0,0,package://araba_v2/meshes/gps_sensor_link.STL,1,1,1,1,0,0,0,0,0,0,package://araba_v2/meshes/gps_sensor_link.STL,,gps-2,gps koordinat,,gps_sensor,fixed,"0,675","-0,81835","0,0265",0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_sensor_link,"-8,6819E-14","0,0492","9,6034E-14",0,0,0,"0,79619","0,001145","-9,0985E-20","2,2626E-26","0,0010052","2,8831E-20","0,001145",0,0,0,0,0,0,package://araba_v2/meshes/lidar_sensor_link.STL,1,1,1,1,0,0,0,0,0,0,package://araba_v2/meshes/lidar_sensor_link.STL,,lidar-1,lidar koordinat,,lidar_sensor,fixed,"0,67509","-1,1873","1,1889","1,5708",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
cam_sensor_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://araba_v2/meshes/cam_sensor_link.STL,1,1,1,1,0,0,0,0,0,0,package://araba_v2/meshes/cam_sensor_link.STL,,kamera-1,kamera koordinat,,cam_sensor,fixed,"0,675","-1,2724","0,94789",0,0,0,base_link,0,0,0,,,,,,,,,,,,
